,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,04.01.2010,05.04.2010,06.07.2010,05.10.2010,03.01.2011,07.02.2011,01.03.2011,25.04.2011,04.05.2011,10.06.2011,11.07.2011,09.08.2011,16.09.2011,18.10.2011,08.11.2011,05.12.2011,17.01.2012,09.02.2012,12.03.2012,17.04.2012,11.05.2012,11.06.2012,05.07.2012,17.08.2012,07.09.2012,10.10.2012,01.11.2012,24.12.2012,14.01.2013,18.02.2013,07.03.2013,19.04.2013,08.05.2013,24.06.2013,17.07.2013,14.08.2013,25.09.2013,18.10.2013,01.11.2013,19.12.2013,07.01.2014,26.02.2014,28.03.2014,30.04.2014,28.05.2014,06.06.2014,04.07.2014,19.08.2014,19.09.2014,29.10.2014,26.11.2014,17.12.2014,22.01.2015,25.02.2015,09.03.2015,07.04.2015,22.05.2015,09.06.2015,15.07.2015,20.08.2015,10.09.2015,29.10.2015,18.11.2015,04.12.2015,13/01/2016,10/02/2016,14/03/2016,12/04/2016,17/05/2016,09/06/2016,19/07/2016,09/08/2016,14/09/2016,17/10/2016,16/11/2016,01/12/2016,11/01/2017,21/02/2017,20/03/2017,10/04/2017,11/05/2017,22/06/2017,12/07/2017,04/08/2017,05/09/2017,09/10/2017,14/11/2017,09/12/2017,21/01/2018,06/02/2018,07/03/2018,04/04/2018,05/05/2018,06/06/2018,08/07/2018,09/08/2018,29/09/2018,26/10/2018,02/11/2018,27/12/2018,14/01/2019,26/02/2019,01/03/2019,22/04/2019,17/05/2019,19/06/2019,19/07/2019,13/08/2019,11/09/2019,13/10/2019,14/11/2019,19/12/2019,10/01/2020,14/02/2020,04/03/2020,13/04/2020,20/05/2020,16.06.2020,20.07.2020,17.08.2020,23.09.2020,09.10.2020,13.11.2020,10.12.2020,21.01.2021,18.02.2021,16.03.2021,20.04.2021,18.06.2021,22.07.2021,18.06.20210.,22.09.2021,13.10.2021,08.11.2021
Ammonia-N,,,,,,0.368,0.15,,,,,,0.18,0.252,,05.12.2012,0.243,  BDL,0.64,0.152,0.146,0.188,0.126,  BDL,  BDL,  BDL,  BDL,  BDL,0.203,0.748,0.143,,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,0.592,  BDL,  BDL,BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,0.128,0.133,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,  BDL,0.102,BDL,BDL,0.141,0.129,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.141,BDL,BDL,0.144,BDL,BDL,BDL,BDL,,,,,,,,,,,,6.09,0.12,     BDL,0.41,0.37,2.31,0.41,0.29,0.24,0.32, BDL,0.18,0.43,   BDL ,0.48,0.32,0.16,0.66,0.43,,,0.3,0.12,0.1,0.26,0.22,0.3,0.4,0.5,0.21,0.222,0.232,0.26,0.25,0.16,0.32,0.13,0.13
Arsenic,,1.53,,,,,,1.357,,,,,,,,05.12.2013,,,,1.874,,,,,,,,,,,,2.05,,,,,,,,,,,,3.827,,,,,,,,,,,,  BDL,,,,,,,,,,,,BDL,,,,,,,,,,,,BDL,,,,,,,,,,,,,,,,,,,,,,,,              BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOD,5.5,4.4,4.3,2.5,6.6,4.8,4.1,4.75,3.9,5.4,5.5,1.15,2.3,1.2,1.4,05.12.2014,1.4,0.6,4.3,1.4,0.5,4.6,5.2,3.6,3.8,3.35,4.2,2.8,2.6,3.2,6.5,6.2,5.4,4.1,2.9,2.4,3.2,2.8,4.45,3.1,2.8,3,2.8,1.8,1.2,2.1,2.4,2.1,1.8,2.2,1.8,1.9,2.1,1.7,2.8,1.5,2.2,1.45,1.2,2.3,1.9,3.5,2.1,1.6,2.15,1.8,1.85,4.3,2.3,2.3,1.4,1.3,1.9,6,2.7,3.1,3.1,3.6,2.4,3.4,2.8,2.4,1.9,2.5,2.9,3.2,3.9,3.4,3.9,6.78,2.8,2.8,4.8,3.09,5.09,6.32,2.8,3.4,3.1,2.8,2.4,3,2.8,16,2.3,1.5,2.8,1.6,1.4,1.2,1.4,1.4,1.6,2.2,2.1,1.8,2.3,1.5,1.27,1.26,1.1,1.2,1.01,1.2,1.4,1.5,1.1,1.21,1.05,1.6,1.2,1.6,1.5,1.9
Boron,,0.19,,,,,,1.262,0.042,,0.012,0.036,  NT,,,05.12.2015,  BDL,  BDL,  BDL,  BDL,0.016,0.011,  BDL,0.003,  BDL,0.005,0.001,  BDL,0.009,0.001,  BDL,0.004,0.001,0.004,0.003,0.019,0.002,0.006,  BDL,  BDL,  BDL,0.001,0.003,0.004,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.001,0.129,  BDL,0.006,0.006,0.007,0.007,0.019,0.021,0.004,0.002,  BDL,0.001,0.06,0.005,0.005,0.009,0.013,0.003,BDL,0.014,0.014,0.017,0.015,0.007,0.039,0.013,0.009,0.009,0.006,0.014,0.006,0.016,0.019,0.015,0.019,0.018,0.021,0.56,0.016,0.027,0.045,0.078,0.007,0.054,BDL,0.018,0.018,0.009,0.014,0.009,0.009,0.221,0.001,0.018,0.018,0.017,0.019,0.025,0.015,0.021,4.66,19.96,20.61, ,3.65,,,,,,,,,,,,,,,,BDL,
Calcium Hardness as CaCo3,,31.5,,,,16.8,17.14,,18.95,14.1,13.19,14.01,14.01,16,15.2,05.12.2016,5.6,,,,,,,,,,,,,,,,,,,,,,,,14.4,15.2,12.8,16,24,17.6,25.2,17.64,18.48,21,17.64,17.75,20.8,28.8,19.2,20.83,16.03,12.83,13.62,16.83,17.63,11.22,8.82,17.63,16.83,60,82,62,19.24,14.43,12.02,8.82,18.44,19.2,18.44,16.83,16.83,12.02,23.24,17.64,17.64,17.64,48,46,50,54,58,60,65,56,72.02,75.08,78.09,56.09,49.56,56.76,19.2,66,19.24,28.8,11.22,17.64,28.8,23.25,23.25,14.43,19.78,36,20.04,12.02,19.24,22.45,17.64,18.43,20.04,14.43,16.83,14,8,9.5,7.65,12.2,16,11,10,15.2,9.2,6.25,16,12.2,6.41,13.2,14.2,15.3
Cadmium,,,,,,,,0.197,,,,2.99,,,,05.12.2017,,,,  NT,,,,,,,,,,,,  BDL,,,,,,,,,,,,  NT,,,,,,,,,,,,  BDL,,,,,,,,,,,,BDL,,,,,,,,,,,,BDL,,,,8.81,,,,,,,,,,,,,,,,,,,,         BDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloride,,10,,,,6.9,6,,,,2.94,2.99,,3.77,6.6,05.12.2018,5.8,8.74,9.78,8.81,7.83,9.78,4.68,6.7,6.7,6.7,6.7,8.61,13.4,22.01,8.61,8.61,10.76,7.82,14.67,12.44,12.72,5.87,5.87,6.85,5.87,4.89,3.99,12.72,6.84,12.72,10.76,5.87,4.89,7.83,6.84,7.83,7.99,10.76,9.78,18.73,7.82,9.78,10.76,7.82,14.67,11.74,20.55,12.7,9.78,13.69,16.63,7.82,10.76,12.72,14.68,12.72,19.57,19.57,23.48,25.44,26.42,31.31,10.76,10.76,8.81,9.78,12.72,8.81,7.65,6.09,7.89,8.02,8.32,9.03,21.53,24.78,32.09,34.09,67.932,76.891,12.54,14.46,14.68,15.65,12.72,13.49,15.65,75.34,12.72,19.56,15.65,10.76,16.58,16.58,8.81,11.74,7.83,19.96,9.78,12.72,22.5,8.5,5.1,3.98,4.21,4.45,6.8,5.5,5.5,6.9,3.58,4.44,5.2,6.6,7.65,5.9,6.3,6.2
COD,,32,,,,15,13.44,13,,19,16,25.92,12.04,4.92,11.52,9,12,6.5,6.72,2.64,2,6.72,23.04,42.24,13.8,16.64,8.32,11.44,11,45.76,18,13,12.88,59,24.84,16.72,12.64,19.36,6,7.68,5.52,17.36,14.56,14.4,17,23,11.44,15.36,12.48,7.36,14.2,5.28,10,6.72,8.16,6.24,13.52,5.2,15.6,42,13,15.36,11.52,10.56,17,13.8,10,15.36,13.44,13.52,9.6,7.36,8,,3.12,17,34,19.2,35,20,10,18,30,26,34,39,42,48,50,58,18,29,30,40,54,78,30,39,48,39,41,37,39,72,14,16.3,21.16,28.24,32.29,36,48,53,51,21,24,24,28,9.5,7.8,5.22,4.98,5.5,9,8.2,11,8,9.9,4.92,7.5,9.8,8,10,5.2,10
Conductivity,168.8,168.3,97,129,,156.1,165.7,179,176,122.5,106.2,118.8,125.7,136.7,144.3,150,160.8,168.8,194,206,210,211,131,131,134,145,135,160,192,244,189,204,191,150,127,132,147,146,145,161,164,183,187,194,139,208,179,104,129,151,157,150,160,178.9,185,192,183.4,172.3,130,172.3,197.4,63.32,151.6,146.6,148.6,161.7,188.6,184.2,193.7,142.2,119.1,167.9,201.6,,200.5,98.76,170.1,185.1,210.1,157.7,215.9,84.45,129.4,96.71,135,145,154,256,270,300,214.02,345.09,342.09,457.02,765,542,123.6,163.4,154.9,149.8,158.2,151.2,149.8,210.1,167,119.8,112.6,158.7,141,119.8,93.2,122.8,119.3,1467,110.2,65.24,110,146,159,148,138.5,151.2,133,145,152,138.4,149,160.5,145,151.2,141,137.2,140,150.8
Dissolved O2(DO),7,7.3,7.3,7.3,7.4,8,7.9,7.7,6.9,6.6,6,7.6,6.1,7,6.9,,7.8,7,6.4,6.8,6.3,6,7,6.8,6.6,6.6,6.7,7.9,8.8,7.9,7.3,7.8,7.4,7.2,6.8,7.3,7.2,7.4,6.8,7.2,8,7.2,7.4,7.2,7.2,7.8,6.8,7.2,6.9,7.2,7.2,6.8,7.2,7.8,8.9,8.2,5.8,6.1,6.9,6.3,5.5,6.3,6.3,6.5,7.3,8.7,5.7,7.3,3.3,4.8,6.2,7.1,6.1,5.4,5.3,6.5,8,6.5,6.2,112,7.6,6.9,6.8,7,7.89,8,8.08,9.76,10.5,10.8,6.02,9.02,9.87,4.89,8.09,7.32,6.9,7.2,6.8,5.4,6.9,6.5,5.4,5.8,5.2,7.2,7.2,7.4,6.7,6.8,6.8,6.8,6.9,6.9,7.1,7.8,6.5,7.4,7.2,6.85,6.8,6.92,7.01,6.35,6.6,6.8,7.5,6.3,7.1,7.5,6.8,7.1,6.9,6.2
