,COD,Conductivity,Dissolved O2(DO),Nitrate-N,pH,Potassium,Sodium,Sulphate,Temperature,Total Coliform,Total Dissolved Solids(TDS),Total Fixed Solids(TFS),Total Hardness as CaCo3,Turbidity
Unnamed: 1,20.340078125,168.8,7.0,0.62,7.19,4.279921259842519,11.058809523809524,13.360182539682542,14.0,8000.0,138.40234375,170.5891472868217,58.55546875,69.7792857142857
Unnamed: 2,32.0,168.3,7.3,0.17,7.21,4.0,14.3,11.1,26.0,8000.0,112.0,80.0,52.5,27.1
Unnamed: 3,20.340078125,97.0,7.3,0.36,7.1,4.279921259842519,11.058809523809524,13.360182539682542,29.0,11000.0,138.40234375,170.5891472868217,58.55546875,69.7792857142857
Unnamed: 4,20.340078125,129.0,7.3,0.17,6.97,4.279921259842519,11.058809523809524,13.360182539682542,30.0,14000.0,138.40234375,170.5891472868217,58.55546875,69.7792857142857
Unnamed: 5,20.340078125,179.32954545454547,7.4,0.25,6.95,4.279921259842519,11.058809523809524,13.360182539682542,20.0,14000.0,138.40234375,170.5891472868217,58.55546875,69.7792857142857
Unnamed: 6,15.0,156.1,8.0,0.6743548387096775,7.1162399999999995,5.0,8.65,1.18,20.0,340000.0,108.0,150.0,51.5,19.5
Unnamed: 7,13.44,165.7,7.9,0.08,7.1162399999999995,4.92,10.19,4.79,27.0,210000.0,108.0,26.0,56.0,11.3
Unnamed: 8,13.0,179.0,7.7,0.6743548387096775,6.96,4.0,10.91,1.51,24.0,210000.0,106.0,146.0,64.64,69.7792857142857
Unnamed: 9,20.340078125,176.0,6.9,0.6743548387096775,7.1162399999999995,4.279921259842519,11.058809523809524,1.41,21.0,200000.0,100.0,88.0,64.64,25.2
Unnamed: 10,19.0,122.5,6.6,0.45,6.95,3.0,4.85,2.99,31.0,195000.0,148.0,278.0,46.46,178.0
Unnamed: 11,16.0,106.2,6.0,0.6743548387096775,7.1162399999999995,3.0,2.5,0.071,28.0,165000.0,30.0,152.0,46.46,178.0
